"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2026年5週"
"集計期間終了週","2026年5週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"1歳","149","22","8525","18","13","14","494","6","0","0","35","1","0","5","1","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"2歳","172","14","*","11","8","20","365","3","2","1","12","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"3歳","286","21","*","3","6","37","326","6","1","1","3","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","389","13","*","3","2","64","282","8","0","2","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0"
"5歳","500","15","8845","0","4","50","270","5","1","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","1","0","0","0"
"6歳","624","22","*","1","6","60","233","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","910","31","*","1","2","53","232","2","0","2","0","0","1","0","1","0","0","0","0","1","0","0","4","0","0","0","0","0","0","4","0","0","0","0"
"8歳","910","21","*","1","1","68","206","3","0","0","0","0","1","0","0","0","0","0","0","0","1","1","3","0","0","0","0","0","0","3","0","0","0","0"
"9歳","716","28","*","0","4","40","194","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"10～14歳","3399","107","5969","2","0","91","545","26","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15～19歳","1187","35","2095","0","0","13","124","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"20～29歳","536","37","1331","0","6","19","453","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","1","0","0","0","0","0","2","0","0","0","1"
"30～39歳","482","58","1416","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","3"
"40～49歳","514","55","1560","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"50～59歳","198","45","964","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"60～69歳","82","30","666","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","7","0","0","0","0","0","5","0","1","0","6"
"70～79歳","35","20","419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","7","0","0","0","0","0","3","0","0","0","7"
"80歳以上","20","27","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","23","1","0","0","0","0","12","0","0","0","23"
"合計","11149","617","33334","68","55","530","3922","69","5","11","62","3","4","13","3","1","8","0","1","5","1","1","48","47","2","0","2","0","0","45","2","1","0","46"
"定点数","418","418","418","263","263","263","263","263","263","263","263","263","263","263","263","39","39","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"


