"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"荒川区","34","3","178","6","0","2","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","44","9","272","0","0","4","42","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"練馬区","67","6","370","5","1","5","60","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","46","11","468","0","0","9","59","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","38","3","193","1","0","3","34","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","","","","","","",""
"江戸川","70","8","462","1","0","14","44","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","90","9","714","0","1","12","52","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"町田市","93","1","532","4","0","21","93","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","27","9","162","0","0","2","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"南多摩","42","16","284","1","0","2","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","48","9","298","0","0","13","33","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","140","17","676","1","0","17","90","9","0","1","5","1","0","0","0","0","2","0","0","0","0","0","1","1","","","","","","",""
"多摩小平","80","9","569","3","3","8","90","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","6","0","","","","","","",""
"島しょ","4","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","1492","175","8660","37","7","177","1212","36","2","5","29","1","5","1","0","0","4","0","0","3","0","1","18","4","","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2026年3週"
"集計期間終了週","2026年3週"
"性別","男女合計"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","16","2","101","1","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","4","3","0","2","2","2"
"中央区","18","1","147","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","49","6","352","3","1","6","39","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","9","9","6","0","1","1","1"
"新宿区","56","10","245","2","1","9","35","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","3","12","12","8","2","2","2","2"
"文京","77","7","384","0","1","5","64","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","7","7","4","1","1","1","1"
"台東","37","5","340","1","0","15","56","1","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","29","2","126","2","0","5","22","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","8","8","5","1","1","1","1"
"江東区","152","6","688","1","2","17","141","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","79","4","323","2","0","9","58","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"目黒区","33","3","197","1","0","9","42","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","157","14","768","1","3","34","182","2","0","6","4","0","1","0","0","0","0","0","0","0","0","0","1","1","21","21","13","2","1","1","1"
"世田谷","156","14","1056","7","0","17","134","1","0","1","2","0","0","0","0","0","0","0","0","0","0","1","3","2","25","25","16","2","2","2","2"
"渋谷区","38","5","218","0","0","6","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","7","4","1","1","1","1"
"中野区","119","8","845","1","0","8","96","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","153","11","505","2","0","0","75","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","5","0","17","17","11","1","2","2","2"
"池袋","80","9","388","3","0","3","40","1","0","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","8","8","5","1","1","1","1"
"北区","80","9","361","0","1","10","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"荒川区","67","6","362","11","0","9","55","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","1","0","0","0"
"板橋区","89","18","544","0","2","4","112","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0","16","16","10","2","1","1","1"
"練馬区","145","15","804","6","2","21","131","5","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","21","21","13","2","0","0","0"
"足立","125","20","937","2","1","21","119","2","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","69","9","403","1","0","6","73","3","0","0","1","0","1","1","0","0","0","0","0","3","0","0","2","0","13","13","8","1","1","1","1"
"江戸川","147","16","878","1","4","36","102","1","0","0","2","0","1","2","0","0","1","0","0","0","0","0","0","0","19","19","12","2","0","0","0"
"八王子市","206","19","1528","2","2","40","101","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","3","18","18","11","2","1","1","1"
"町田市","182","4","1084","6","1","43","215","15","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"西多摩","54","13","328","0","0","8","44","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1","14","14","8","1","1","1","1"
"南多摩","92","24","573","2","1","8","59","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"多摩立川","97","15","603","1","0","24","69","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1","1","20","20","13","2","1","1","1"
"多摩府中","276","32","1406","2","0","40","171","12","1","1","11","2","0","1","0","0","3","0","0","2","0","0","6","2","33","33","21","3","3","3","3"
"多摩小平","147","17","1168","6","4","23","188","6","1","0","7","0","0","0","0","0","0","0","0","1","0","0","12","2","23","23","15","2","2","2","2"
"島しょ","7","3","26","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","3032","327","17688","67","26","440","2578","72","7","13","68","3","9","5","2","0","11","0","0","8","1","1","41","19","418","418","263","39","25","25","25"


